u,v,bank_u,bank_v,opposite_banks,intersects_river_buffer,buffer_m,is_thames_crossing
1000156,1001035,south,south,False,False,75.0,False
1000157,1000258,north,north,False,False,75.0,False
1000158,1000176,north,north,False,False,75.0,False
1000159,1000208,north,north,False,False,75.0,False
1000161,1000181,north,north,False,False,75.0,False
1000162,1000214,north,north,False,False,75.0,False
1000163,1000213,north,north,False,False,75.0,False
1000163,1000256,north,north,False,False,75.0,False
1000164,1000183,north,north,False,False,75.0,False
1000165,1000166,north,north,False,False,75.0,False
1000166,1000181,north,north,False,False,75.0,False
1000167,1000187,north,north,False,False,75.0,False
1000168,1000210,north,north,False,False,75.0,False
1000170,1000260,north,north,False,False,75.0,False
1000170,1001348,north,north,False,False,75.0,False
1000172,1000223,south,south,False,False,75.0,False
1000173,1000179,north,north,False,False,75.0,False
1000173,1000191,north,north,False,False,75.0,False
1000173,1000235,north,north,False,False,75.0,False
1000173,1000252,north,north,False,False,75.0,False
1000174,1000253,north,north,False,False,75.0,False
1000175,1000196,north,north,False,False,75.0,False
1000177,1000184,north,north,False,False,75.0,False
1000180,1000247,north,south,True,True,75.0,True
1000180,1000248,north,north,False,False,75.0,False
1000182,1000245,north,north,False,False,75.0,False
1000182,1000262,north,north,False,False,75.0,False
1000183,1000257,north,north,False,False,75.0,False
1000186,1001170,north,north,False,False,75.0,False
1000188,1000218,north,north,False,False,75.0,False
1000189,1000211,north,north,False,False,75.0,False
1000189,1000264,north,north,False,False,75.0,False
1000190,1000250,north,north,False,False,75.0,False
1000195,1000251,south,north,True,True,75.0,True
1000196,1000259,north,north,False,False,75.0,False
1000197,1000199,north,north,False,False,75.0,False
1000198,1000214,north,north,False,False,75.0,False
1000198,1000267,north,north,False,False,75.0,False
1000201,1000236,north,north,False,False,75.0,False
1000201,1001040,north,north,False,False,75.0,False
1000201,1001265,north,north,False,False,75.0,False
1000202,1001180,north,north,False,False,75.0,False
1000202,1002076,north,north,False,False,75.0,False
1000203,1000269,north,north,False,False,75.0,False
1000204,1000278,north,north,False,False,75.0,False
1000206,1000212,north,north,False,False,75.0,False
1000206,1000248,north,north,False,False,75.0,False
1000207,1000217,north,north,False,False,75.0,False
1000209,1000273,south,south,False,False,75.0,False
1000211,1000227,north,north,False,False,75.0,False
1000215,1000254,south,south,False,False,75.0,False
1000217,1000274,north,north,False,False,75.0,False
1000218,1000240,north,north,False,False,75.0,False
1000220,1000268,north,north,False,False,75.0,False
1000221,1000248,north,north,False,False,75.0,False
1000221,1000266,north,north,False,False,75.0,False
1000222,1000230,north,north,False,False,75.0,False
1000223,1000247,south,south,False,False,75.0,False
1000224,1000256,north,north,False,False,75.0,False
1000226,1000262,north,north,False,False,75.0,False
1000226,1000268,north,north,False,False,75.0,False
1000226,1001129,north,north,False,False,75.0,False
1000226,1001190,north,north,False,False,75.0,False
1000226,1002066,north,north,False,False,75.0,False
1000226,1003007,north,north,False,False,75.0,False
1000226,1003009,north,north,False,False,75.0,False
1000227,1000228,north,north,False,False,75.0,False
1000229,1001233,south,south,False,False,75.0,False
1000233,1000234,south,south,False,False,75.0,False
1000237,1000276,north,north,False,False,75.0,False
1000241,1000275,north,north,False,False,75.0,False
1000242,1000243,north,north,False,False,75.0,False
1000242,1001098,north,north,False,False,75.0,False
1000249,1001268,north,north,False,False,75.0,False
1000249,1001343,north,north,False,False,75.0,False
1000251,1000329,north,north,False,False,75.0,False
1000254,1000266,south,north,True,True,75.0,True
1000260,1001347,north,north,False,False,75.0,False
