u,v,line_ids,modes,directions,route_names,distance_m
1000167,1000187,central,tube,inbound;outbound,branch_13;branch_6,646.3438456062099
1000168,1000210,piccadilly,tube,inbound;outbound,branch_0;branch_8,1734.5787587200946
1000170,1000260,mildmay,overground,inbound;outbound,branch_1;branch_5,1548.8202567870385
1000170,1001348,mildmay,overground,inbound;outbound,branch_1;branch_5,988.2314984002454
1000172,1000223,northern,tube,inbound;outbound,branch_11;branch_8,1290.1562441676715
1000173,1000179,bakerloo,tube,inbound;outbound,branch_0;branch_1,789.0031164307287
1000173,1000191,bakerloo,tube,inbound;outbound,branch_0;branch_1,960.4429724770587
1000173,1000235,central,tube,inbound;outbound,branch_13;branch_6,805.7800824758292
1000173,1000252,victoria,tube,inbound;outbound,branch_0;branch_1,1097.895903223732
1000174,1000253,bakerloo,tube,inbound;outbound,branch_0;branch_1,952.8751732193293
1000175,1000196,circle;hammersmith-city,tube,inbound;outbound,branch_0;branch_1;branch_2,758.1891515492337
1000177,1000184,district,tube,inbound;outbound,branch_4;branch_9,953.136434849021
1000180,1000247,victoria,tube,inbound;outbound,branch_0;branch_1,764.1472308087372
1000180,1000248,victoria,tube,inbound;outbound,branch_0;branch_1,1025.1552301949914
1000182,1000245,district;hammersmith-city,tube,inbound;outbound,branch_0;branch_1;branch_12,1307.8691605957176
1000182,1000262,district;hammersmith-city,tube,inbound;outbound,branch_0;branch_1;branch_12,950.1250701161689
1000183,1000257,metropolitan,tube,inbound;outbound,branch_0;branch_11,1464.6490164085276
1000186,1001170,lioness,overground,inbound;outbound,branch_0;branch_1,937.302293605126
1000188,1000218,district,tube,inbound;outbound,branch_13;branch_3,680.7258953477676
1000189,1000211,piccadilly,tube,inbound;outbound,branch_1;branch_5,1717.9939390457573
1000189,1000264,metropolitan,tube,inbound;outbound,branch_2;branch_9,1338.0570638975992
1000190,1000250,central,tube,inbound;outbound,branch_1;branch_12,1176.3775210903132
1000194,1000274,central,tube,inbound;outbound,branch_0;branch_9,1314.0827460802113
1000195,1000251,windrush,overground,inbound;outbound,branch_7;branch_8,480.0805006915906
